17:02:17.471 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - testng
17:02:17.471 [ApplicationImpl pooled thread 204] INFO  com.browserstack.utils.Helpers - null
17:02:17.472 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:03:00.753 [ApplicationImpl pooled thread 205] INFO  c.b.l.BrowserStackRunExtension - testng
17:03:00.753 [ApplicationImpl pooled thread 205] INFO  com.browserstack.utils.Helpers - null
17:03:00.754 [ApplicationImpl pooled thread 205] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:05:18.852 [ApplicationImpl pooled thread 190] INFO  c.b.l.BrowserStackRunExtension - testng
17:05:18.852 [ApplicationImpl pooled thread 190] INFO  com.browserstack.utils.Helpers - null
17:05:18.853 [ApplicationImpl pooled thread 190] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:05:55.428 [ApplicationImpl pooled thread 210] INFO  c.b.l.BrowserStackRunExtension - testng
17:05:55.428 [ApplicationImpl pooled thread 210] INFO  com.browserstack.utils.Helpers - null
17:05:55.429 [ApplicationImpl pooled thread 210] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:10:51.639 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - testng
17:10:51.640 [ApplicationImpl pooled thread 212] INFO  com.browserstack.utils.Helpers - null
17:10:51.642 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:11:33.739 [ApplicationImpl pooled thread 197] INFO  c.b.l.BrowserStackRunExtension - testng
17:11:33.739 [ApplicationImpl pooled thread 197] INFO  com.browserstack.utils.Helpers - null
17:11:33.740 [ApplicationImpl pooled thread 197] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:14:42.263 [ApplicationImpl pooled thread 220] INFO  c.b.l.BrowserStackRunExtension - testng
17:14:42.263 [ApplicationImpl pooled thread 220] INFO  com.browserstack.utils.Helpers - null
17:14:42.264 [ApplicationImpl pooled thread 220] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:16:40.263 [ApplicationImpl pooled thread 222] INFO  c.b.l.BrowserStackRunExtension - testng
17:16:40.263 [ApplicationImpl pooled thread 222] INFO  com.browserstack.utils.Helpers - null
17:16:40.263 [ApplicationImpl pooled thread 222] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:19:09.510 [ApplicationImpl pooled thread 225] INFO  c.b.l.BrowserStackRunExtension - testng
17:19:09.511 [ApplicationImpl pooled thread 225] INFO  com.browserstack.utils.Helpers - null
17:19:09.512 [ApplicationImpl pooled thread 225] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:20:15.364 [ApplicationImpl pooled thread 225] INFO  c.b.l.BrowserStackRunExtension - testng
17:20:15.365 [ApplicationImpl pooled thread 225] INFO  com.browserstack.utils.Helpers - null
17:20:15.366 [ApplicationImpl pooled thread 225] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:21:38.200 [ApplicationImpl pooled thread 215] INFO  c.b.l.BrowserStackRunExtension - testng
17:21:38.200 [ApplicationImpl pooled thread 215] INFO  com.browserstack.utils.Helpers - null
17:21:38.201 [ApplicationImpl pooled thread 215] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:27:08.161 [ApplicationImpl pooled thread 226] INFO  c.b.l.BrowserStackRunExtension - testng
17:27:08.161 [ApplicationImpl pooled thread 226] INFO  com.browserstack.utils.Helpers - null
17:27:08.161 [ApplicationImpl pooled thread 226] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:33:59.316 [ApplicationImpl pooled thread 242] INFO  c.b.l.BrowserStackRunExtension - testng
17:33:59.316 [ApplicationImpl pooled thread 242] INFO  com.browserstack.utils.Helpers - null
17:33:59.316 [ApplicationImpl pooled thread 242] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:34:39.318 [ApplicationImpl pooled thread 237] INFO  c.b.l.BrowserStackRunExtension - testng
17:34:39.318 [ApplicationImpl pooled thread 237] INFO  com.browserstack.utils.Helpers - null
