20:27:51.047 [ApplicationImpl pooled thread 132] INFO  c.b.l.BrowserStackRunExtension - testng
20:27:51.047 [ApplicationImpl pooled thread 132] INFO  com.browserstack.utils.Helpers - null
20:27:51.047 [ApplicationImpl pooled thread 132] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:28:46.677 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - testng
20:28:46.677 [ApplicationImpl pooled thread 136] INFO  com.browserstack.utils.Helpers - null
20:28:46.679 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:33:05.631 [ApplicationImpl pooled thread 140] INFO  c.b.l.BrowserStackRunExtension - testng
20:33:05.631 [ApplicationImpl pooled thread 140] INFO  com.browserstack.utils.Helpers - null
20:33:05.633 [ApplicationImpl pooled thread 140] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:36:49.853 [ApplicationImpl pooled thread 145] INFO  c.b.l.BrowserStackRunExtension - testng
20:36:49.853 [ApplicationImpl pooled thread 145] INFO  com.browserstack.utils.Helpers - null
20:36:49.854 [ApplicationImpl pooled thread 145] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:42:01.061 [ApplicationImpl pooled thread 139] INFO  c.b.l.BrowserStackRunExtension - testng
20:42:01.061 [ApplicationImpl pooled thread 139] INFO  com.browserstack.utils.Helpers - null
20:42:01.062 [ApplicationImpl pooled thread 139] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:45:48.688 [ApplicationImpl pooled thread 156] INFO  c.b.l.BrowserStackRunExtension - testng
20:45:48.688 [ApplicationImpl pooled thread 156] INFO  com.browserstack.utils.Helpers - null
20:45:48.690 [ApplicationImpl pooled thread 156] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:49:07.441 [ApplicationImpl pooled thread 156] INFO  c.b.l.BrowserStackRunExtension - testng
20:49:07.441 [ApplicationImpl pooled thread 156] INFO  com.browserstack.utils.Helpers - null
20:49:07.442 [ApplicationImpl pooled thread 156] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:51:08.990 [ApplicationImpl pooled thread 160] INFO  c.b.l.BrowserStackRunExtension - testng
20:51:08.991 [ApplicationImpl pooled thread 160] INFO  com.browserstack.utils.Helpers - null
20:51:08.991 [ApplicationImpl pooled thread 160] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:00:31.071 [ApplicationImpl pooled thread 166] INFO  c.b.l.BrowserStackRunExtension - testng
21:00:31.071 [ApplicationImpl pooled thread 166] INFO  com.browserstack.utils.Helpers - null
21:00:31.072 [ApplicationImpl pooled thread 166] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:02:29.910 [ApplicationImpl pooled thread 173] INFO  c.b.l.BrowserStackRunExtension - testng
21:02:29.910 [ApplicationImpl pooled thread 173] INFO  com.browserstack.utils.Helpers - null
21:02:29.911 [ApplicationImpl pooled thread 173] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:04:36.239 [ApplicationImpl pooled thread 177] INFO  c.b.l.BrowserStackRunExtension - testng
21:04:36.239 [ApplicationImpl pooled thread 177] INFO  com.browserstack.utils.Helpers - null
21:04:36.239 [ApplicationImpl pooled thread 177] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:05:46.302 [ApplicationImpl pooled thread 176] INFO  c.b.l.BrowserStackRunExtension - testng
21:05:46.302 [ApplicationImpl pooled thread 176] INFO  com.browserstack.utils.Helpers - null
21:05:46.303 [ApplicationImpl pooled thread 176] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:13:06.526 [ApplicationImpl pooled thread 180] INFO  c.b.l.BrowserStackRunExtension - testng
21:13:06.526 [ApplicationImpl pooled thread 180] INFO  com.browserstack.utils.Helpers - null
21:13:06.527 [ApplicationImpl pooled thread 180] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:14:41.128 [ApplicationImpl pooled thread 186] INFO  c.b.l.BrowserStackRunExtension - testng
21:14:41.128 [ApplicationImpl pooled thread 186] INFO  com.browserstack.utils.Helpers - null
21:14:41.128 [ApplicationImpl pooled thread 186] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:21:45.512 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - testng
21:21:45.513 [ApplicationImpl pooled thread 189] INFO  com.browserstack.utils.Helpers - null
21:21:45.513 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:33:16.112 [ApplicationImpl pooled thread 193] INFO  c.b.l.BrowserStackRunExtension - testng
21:33:16.112 [ApplicationImpl pooled thread 193] INFO  com.browserstack.utils.Helpers - null
21:33:16.113 [ApplicationImpl pooled thread 193] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:50:39.612 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - testng
21:50:39.612 [ApplicationImpl pooled thread 212] INFO  com.browserstack.utils.Helpers - null
21:50:39.613 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:53:50.138 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - testng
21:53:50.138 [ApplicationImpl pooled thread 212] INFO  com.browserstack.utils.Helpers - null
21:53:50.140 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:59:39.574 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - testng
21:59:39.577 [ApplicationImpl pooled thread 219] INFO  com.browserstack.utils.Helpers - null
21:59:39.581 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:00:55.864 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - testng
22:00:55.866 [ApplicationImpl pooled thread 219] INFO  com.browserstack.utils.Helpers - null
22:00:55.866 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:02:46.928 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - testng
22:02:46.928 [ApplicationImpl pooled thread 219] INFO  com.browserstack.utils.Helpers - null
22:02:46.929 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:04:25.554 [ApplicationImpl pooled thread 220] INFO  c.b.l.BrowserStackRunExtension - testng
22:04:25.554 [ApplicationImpl pooled thread 220] INFO  com.browserstack.utils.Helpers - null
22:04:25.555 [ApplicationImpl pooled thread 220] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:10:40.754 [ApplicationImpl pooled thread 239] INFO  c.b.l.BrowserStackRunExtension - testng
22:10:40.754 [ApplicationImpl pooled thread 239] INFO  com.browserstack.utils.Helpers - null
22:10:40.755 [ApplicationImpl pooled thread 239] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:12:10.887 [ApplicationImpl pooled thread 242] INFO  c.b.l.BrowserStackRunExtension - testng
22:12:10.888 [ApplicationImpl pooled thread 242] INFO  com.browserstack.utils.Helpers - null
22:12:10.889 [ApplicationImpl pooled thread 242] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:13:50.569 [ApplicationImpl pooled thread 242] INFO  c.b.l.BrowserStackRunExtension - testng
22:13:50.569 [ApplicationImpl pooled thread 242] INFO  com.browserstack.utils.Helpers - null
22:13:50.569 [ApplicationImpl pooled thread 242] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
