03:01:10.715 [ApplicationImpl pooled thread 519] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:07:32.446 [ApplicationImpl pooled thread 525] INFO  c.b.l.BrowserStackRunExtension - testng
03:07:32.446 [ApplicationImpl pooled thread 525] INFO  com.browserstack.utils.Helpers - null
03:07:32.447 [ApplicationImpl pooled thread 525] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:09:46.251 [ApplicationImpl pooled thread 509] INFO  c.b.l.BrowserStackRunExtension - testng
03:09:46.251 [ApplicationImpl pooled thread 509] INFO  com.browserstack.utils.Helpers - null
03:09:46.252 [ApplicationImpl pooled thread 509] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:10:13.550 [ApplicationImpl pooled thread 532] INFO  c.b.l.BrowserStackRunExtension - testng
03:10:13.550 [ApplicationImpl pooled thread 532] INFO  com.browserstack.utils.Helpers - null
03:10:13.552 [ApplicationImpl pooled thread 532] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:11:31.960 [ApplicationImpl pooled thread 532] INFO  c.b.l.BrowserStackRunExtension - testng
03:11:31.960 [ApplicationImpl pooled thread 532] INFO  com.browserstack.utils.Helpers - null
03:11:31.961 [ApplicationImpl pooled thread 532] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:14:41.322 [ApplicationImpl pooled thread 520] INFO  c.b.l.BrowserStackRunExtension - testng
03:14:41.322 [ApplicationImpl pooled thread 520] INFO  com.browserstack.utils.Helpers - null
03:14:41.323 [ApplicationImpl pooled thread 520] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:17:06.150 [ApplicationImpl pooled thread 541] INFO  c.b.l.BrowserStackRunExtension - testng
03:17:06.151 [ApplicationImpl pooled thread 541] INFO  com.browserstack.utils.Helpers - null
03:17:06.152 [ApplicationImpl pooled thread 541] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:18:09.277 [ApplicationImpl pooled thread 539] INFO  c.b.l.BrowserStackRunExtension - testng
03:18:09.277 [ApplicationImpl pooled thread 539] INFO  com.browserstack.utils.Helpers - null
03:18:09.278 [ApplicationImpl pooled thread 539] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:18:39.432 [ApplicationImpl pooled thread 539] INFO  c.b.l.BrowserStackRunExtension - testng
03:18:39.433 [ApplicationImpl pooled thread 539] INFO  com.browserstack.utils.Helpers - null
03:18:39.433 [ApplicationImpl pooled thread 539] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:21:51.963 [ApplicationImpl pooled thread 509] INFO  c.b.l.BrowserStackRunExtension - testng
03:21:51.964 [ApplicationImpl pooled thread 509] INFO  com.browserstack.utils.Helpers - null
03:21:51.964 [ApplicationImpl pooled thread 509] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:23:19.984 [ApplicationImpl pooled thread 547] INFO  c.b.l.BrowserStackRunExtension - testng
03:23:19.984 [ApplicationImpl pooled thread 547] INFO  com.browserstack.utils.Helpers - null
03:23:19.985 [ApplicationImpl pooled thread 547] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:28:45.937 [ApplicationImpl pooled thread 551] INFO  c.b.l.BrowserStackRunExtension - testng
03:28:45.937 [ApplicationImpl pooled thread 551] INFO  com.browserstack.utils.Helpers - null
03:28:45.939 [ApplicationImpl pooled thread 551] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:29:22.335 [ApplicationImpl pooled thread 544] INFO  c.b.l.BrowserStackRunExtension - testng
03:29:22.336 [ApplicationImpl pooled thread 544] INFO  com.browserstack.utils.Helpers - null
03:29:22.337 [ApplicationImpl pooled thread 544] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:41:09.008 [ApplicationImpl pooled thread 557] INFO  c.b.l.BrowserStackRunExtension - testng
03:41:09.009 [ApplicationImpl pooled thread 557] INFO  com.browserstack.utils.Helpers - null
03:41:09.012 [ApplicationImpl pooled thread 557] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:42:38.012 [ApplicationImpl pooled thread 555] INFO  c.b.l.BrowserStackRunExtension - testng
03:42:38.013 [ApplicationImpl pooled thread 555] INFO  com.browserstack.utils.Helpers - null
03:42:38.013 [ApplicationImpl pooled thread 555] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:43:42.811 [ApplicationImpl pooled thread 560] INFO  c.b.l.BrowserStackRunExtension - testng
03:43:42.811 [ApplicationImpl pooled thread 560] INFO  com.browserstack.utils.Helpers - null
03:43:42.812 [ApplicationImpl pooled thread 560] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:56:33.700 [ApplicationImpl pooled thread 577] INFO  c.b.l.BrowserStackRunExtension - testng
03:56:33.700 [ApplicationImpl pooled thread 577] INFO  com.browserstack.utils.Helpers - null
03:56:33.700 [ApplicationImpl pooled thread 577] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:57:12.366 [ApplicationImpl pooled thread 582] INFO  c.b.l.BrowserStackRunExtension - testng
03:57:12.366 [ApplicationImpl pooled thread 582] INFO  com.browserstack.utils.Helpers - null
03:57:12.368 [ApplicationImpl pooled thread 582] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:58:25.617 [ApplicationImpl pooled thread 580] INFO  c.b.l.BrowserStackRunExtension - testng
03:58:25.617 [ApplicationImpl pooled thread 580] INFO  com.browserstack.utils.Helpers - null
03:58:25.617 [ApplicationImpl pooled thread 580] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
